à|at,two cups of coffee at 8 kronor (each) 
à|to,2 to 3 metres 
a|a,in for a penny, in for a pound (&amp;quot;what you start you must finish off&amp;quot;) 
a|A,the sixth tone in the scale of C major 
a conto|on account,in advance 
à jour|abreast with,up-to-date 
à la|à la,beef patty à la Lindström 
à la carte|à la carte,eat (dine, lunch) à la carte 
AB|Ltd.,Co. 
AB Svensk Bilprovning|the Swedish Motor Vehicle Inspection Co.,&amp;quot;Also carries out voluntary road safety tests, general motor-vehicle performance tests, registration tests, etc. The State is the majority owner.&amp;quot; 
AB Svenska Spel| 
abbé|abbé,(French) Catholic priest 
abbedissa|abbess,the mother who is the superior of a convent of nuns 
abborre|perch,very small perch 
abc|abc,basic skills; alphabet 
abc-bok|spelling-book,primer 
ABC-stridsmedel|ABC weapons,atomic, biological and chemical weapons 
abdikera|abdicate,abdication 
aber|catch,but 
ABF|ABF,&amp;quot;An adult educational association which arranges study circles in the municipalities in which it is represented.&amp;quot; 
abnorm|abnormal,abnormality, abnormity 
abonnemang|subscription,annual subscription 
abonnent|subscriber,power board (company) customer 
abonnera|subscribe,subscribe to a newspaper 
abort|abortion,have an abortion 
abort:rådgivning|abortion guidance (counselling),&amp;quot;Free advice and counselling on abortion and related matters. Help is available from maternity centres, district medical officers, women&amp;#39;s clinics, etc.&amp;quot; 
abrakadabra|mumbo-jumbo,nonsense 
abrupt|abrupt,sudden, unexpected 
absolut|absolute,absolute majority 
absolut|certainly,absolutely 
absolutism|absolutism 
absolutist|total abstainer,teetotaller 
absorbera|absorb,soak (suck) up 
absorbera|occupy,absorb 
abstinens|abstinence,withdrawal symptom 
abstrahera|abstract,create an abstract image (of); think in abstract terms 
abstrakt|abstract,concrete 
abstraktion|abstraction,power of abstraction 
abstraktion|abstraction,a product of thought; a general idea or term 
absurd|absurd,that&amp;#39;s completely absurd 
accelerera|accelerate,acceleration 
accent|stress,the stress is on the first syllable 
accent|accent,she speaks without an accent 
accentuera|accentuate,international discord has become more pronounced 
acceptabel|acceptable,an acceptable solution 
acceptera|accept,feel oneself accepted 
accis|excise,a duty levied on the manufacture or sale of an item of goods, such as Value Added Tax, liquor and tobacco duty, energy tax, etc. 
aceton|acetone,a strong solvent 
ack|oh!,oh dear! 
acklamation|acclamation,be voted by (with) acclamation 
